desc id,3rd level of relatedness,In the Archive
bb421.1.spb.04,but551.1.wc.02,Yes
bb421.1.spb.05,but551.1.wc.03,Yes
bb421.1.spb.06,but551.1.wc.04,Yes
bb421.1.spb.07,but551.1.wc.05,Yes
bb421.1.spb.08,but551.1.wc.06,Yes
bb421.1.spb.09,but551.1.wc.07,Yes
bb421.1.spb.10,but551.1.wc.08,Yes
bb421.1.spb.11,but551.1.wc.09,Yes
bb421.1.spb.12,but551.1.wc.10,Yes
bb421.1.spb.13,but551.1.wc.11,Yes
bb421.1.spb.14,but551.1.wc.12,Yes
bb421.1.spb.15,but551.1.wc.13,Yes
bb421.1.spb.16,but551.1.wc.14,Yes
bb421.1.spb.17,but551.1.wc.15,Yes
bb421.1.spb.18,but551.1.wc.16,Yes
bb421.1.spb.19,but551.1.wc.17,Yes
bb421.1.spb.20,but551.1.wc.18,Yes
bb421.1.spb.21,but551.1.wc.19,Yes
bb421.1.spb.22,but551.1.wc.20,Yes
bb421.1.spb.23,but551.1.wc.21,Yes
but550.1.wc.01,but551.1.wc.01,Yes
but550.1.wc.02,but551.1.wc.02,Yes
but550.1.wc.03,but551.1.wc.03,Yes
but550.1.wc.04,but551.1.wc.04,Yes
but550.1.wc.05,but551.1.wc.05,Yes
but550.1.wc.06,but551.1.wc.06,Yes
but550.1.wc.07,but551.1.wc.07,Yes
but550.1.wc.08,but551.1.wc.08,Yes
but550.1.wc.09,but551.1.wc.09,Yes
but550.1.wc.10,but551.1.wc.10,Yes
but550.1.wc.11,but551.1.wc.11,Yes
but550.1.wc.12,but551.1.wc.12,Yes
but550.1.wc.13,but551.1.wc.13,Yes
but550.1.wc.14,but551.1.wc.14,Yes
but550.1.wc.15,but551.1.wc.15,Yes
but550.1.wc.16,but551.1.wc.16,Yes
but550.1.wc.17,but551.1.wc.17,Yes
but550.1.wc.18,but551.1.wc.18,Yes
but550.1.wc.19,but551.1.wc.19,Yes
but550.1.wc.20,but551.1.wc.20,Yes
but550.1.wc.21,but551.1.wc.21,Yes
but461.1.wc.01,but550.1.wc.13,Yes
but505.1.wc.01,butwba10.1.wc.13,Yes
but461.1.wc.01,but551.1.wc.13,Yes
but461.1.wc.01,but557.1.penc.19,Yes
but527.1.wc.01,but528.1.wc.01,Yes
but527.1.wc.02,but528.1.wc.02,Yes
but527.1.wc.03,but528.1.wc.03,Yes
but527.1.wc.04,but528.1.wc.04,Yes
but527.1.wc.05,but528.1.wc.05,Yes
but527.1.wc.06,but528.1.wc.06,Yes
but527.1.wc.07,but528.1.wc.07,Yes
but527.1.wc.08,but528.1.wc.08,Yes
but536.1.wc.09,but379.1.pt.01,Yes
but536.1.wc.01,but529.1.wc.01,Yes
but536.1.wc.02,but529.1.wc.02,Yes
but536.1.wc.03,but529.1.wc.03,Yes
but536.1.wc.04,but529.1.wc.05,Yes
but536.1.wc.06,but529.1.wc.06,Yes
but536.1.wc.07,but529.1.wc.07,Yes
but536.1.wc.08,but529.1.wc.08,Yes
but536.1.wc.09,but529.1.wc.09,Yes
but536.1.wc.10,but529.1.wc.10,Yes
but536.1.wc.11,but529.1.wc.11,Yes
but536.1.wc.12,but529.1.wc.12,Yes
but529.1.wc.05,but537.1.wc.01,Yes
but529.1.wc.08,but537.1.wc.02,Yes
but529.1.wc.11,but537.1.wc.03,Yes
but536.1.wc.04,but537.1.wc.01,Yes
but536.1.wc.08,but537.1.wc.02,Yes
but536.1.wc.11,but537.1.wc.03,Yes
but538.1.wc.01,but542.1.wc.01,Yes
but538.1.wc.02,but542.1.wc.02,Yes
but538.1.wc.03,but542.1.wc.03,Yes
but538.1.wc.04,but542.1.wc.04,Yes
but538.1.wc.05,but542.1.wc.05,Yes
but538.1.wc.06,but542.1.wc.06,Yes
but394.1.pt.01,but551.1.wc.20,Yes
but394.1.pt.01,but550.1.wc.20,Yes
but394.1.pt.01,but557.1.penc.25,Yes
but475.1.wc.01,but415.1.pt.01,Yes
but435.1.wc.01,but529.1.wc.08,Yes
but435.1.wc.01,but536.1.wc.08,Yes
but435.1.wc.01,but537.1.wc.02,Yes
but494.1.wc.01,but529.1.wc.11,Yes
but494.1.wc.01,but536.1.wc.11,Yes
but494.1.wc.01,but537.1.wc.03,Yes
but495.1.wc.01,but529.1.wc.11,Yes
but495.1.wc.01,but536.1.wc.11,Yes
but495.1.wc.01,but537.1.wc.03,Yes
but496.1.wc.01,but529.1.wc.11,Yes
but496.1.wc.01,but536.1.wc.11,Yes
but496.1.wc.01,but537.1.wc.03,Yes
but497.1.wc.01,but529.1.wc.11,Yes
but497.1.wc.01,but536.1.wc.11,Yes
but497.1.wc.01,but537.1.wc.03,Yes
but476.1.wc.01,but544.1.wc.10,Yes
but557.1.penc.05,but550.1.wc.01,Yes
but557.1.penc.05,but551.1.wc.01,Yes
but557.1.penc.06,but550.1.wc.01,Yes
but557.1.penc.06,but551.1.wc.01,Yes
but557.1.penc.07,but550.1.wc.01,Yes
but557.1.penc.07,but551.1.wc.01,Yes
but557.1.penc.08,but550.1.wc.02,Yes
but557.1.penc.08,but551.1.wc.02,Yes
but557.1.penc.09,but550.1.wc.03,Yes
but557.1.penc.09,but551.1.wc.03,Yes
but557.1.penc.10,but550.1.wc.04,Yes
but557.1.penc.10,but551.1.wc.04,Yes
but557.1.penc.11,but550.1.wc.05,Yes
but557.1.penc.11,but551.1.wc.05,Yes
but557.1.penc.12,but550.1.wc.06,Yes
but557.1.penc.12,but551.1.wc.06,Yes
but557.1.penc.13,but550.1.wc.07,Yes
but557.1.penc.13,but551.1.wc.07,Yes
but557.1.penc.14,but550.1.wc.08,Yes
but557.1.penc.14,but551.1.wc.08,Yes
but557.1.penc.15,but550.1.wc.09,Yes
but557.1.penc.15,but551.1.wc.09,Yes
but557.1.penc.16,but550.1.wc.10,Yes
but557.1.penc.16,but551.1.wc.10,Yes
but557.1.penc.17,but550.1.wc.11,Yes
but557.1.penc.17,but551.1.wc.11,Yes
but557.1.penc.18,but550.1.wc.12,Yes
but557.1.penc.18,but551.1.wc.12,Yes
but557.1.penc.19,but550.1.wc.13,Yes
but557.1.penc.19,but551.1.wc.13,Yes
but557.1.penc.20,but550.1.wc.14,Yes
but557.1.penc.20,but551.1.wc.14,Yes
but557.1.penc.21,but550.1.wc.15,Yes
but557.1.penc.21,but551.1.wc.15,Yes
but557.1.penc.22,but550.1.wc.16,Yes
but557.1.penc.22,but551.1.wc.16,Yes
but557.1.penc.23,but550.1.wc.17,Yes
but557.1.penc.23,but551.1.wc.17,Yes
but557.1.penc.24,but550.1.wc.18,Yes
but557.1.penc.24,but551.1.wc.18,Yes
but557.1.penc.25,but550.1.wc.20,Yes
but557.1.penc.25,but551.1.wc.20,Yes
but557.1.penc.26,but550.1.wc.19,Yes
but557.1.penc.26,but551.1.wc.19,Yes
but557.1.penc.27,but550.1.wc.21,Yes
but557.1.penc.27,but551.1.wc.21,Yes
but557.1.penc.28,but550.1.wc.19,Yes
but557.1.penc.28,but551.1.wc.19,Yes
but557.1.penc.29,but550.1.wc.20,Yes
but557.1.penc.29,but551.1.wc.20,Yes
