bad_id,dbi
supplt11oct1825.1,lt11oct1825.1.1+2.RM
but489.1,BUT489.1.1.WC
lt12march1804.1,lt12march1804.1.1.LT
but500.1,BUT500.1.1.WC
but417.1,BUT417.1.1.PT
but636.1,BUT636.1.1.WD
lt22march1805.1,lt22march1805.1.1.LT
lt27nov1805.1,lt27nov1805.1.1.LT
but381.1,BUT381.1.1.PT
lt4june1805.1,lt4june1805.1.1.LT
but512.1,BUT512.1.1.WC
lt22june1804.1,lt22june1804.1.1.LT
supplt1sept1800.1,lt1sept1800.1.1+2.RM
lt27april1804.1,lt27april1804.1.1.LT
lt14jan1804.1,lt14jan1804.1.1.LT
but311.1,BUT311.1.1.CPD
but409.1,BUT409.1.1.PT
but379.1,BUT379.1.1.PT
but482.1,BUT482.1.1.WC
lt27jan1827.1,lt27jan1827.1.1.LT
but450.1,BUT450.1.1.WC
but457.1,BUT457.1.1.WC
but543.1,BUT543.1.1.WC
but300.1,BUT300.1.1.CPD
inscbut633.1,BUT633.1.1-full.RM
but310.1,BUT310.1.1.CPD
lt30jan1803.1,lt30jan1803.1.1.LT
but494.1,BUT494.1.1.WC
esxxi.1,esxxi.1.1J.SP
but441.1,BUT441.1.1.WC
but635.1,BUT635.1.1.WC
but401.1,BUT401.1.1.PT
lt6may1800.1,lt6may1800.1.1.LT
but424.1,BUT424.1.1.PT
but445.1,BUT445.1.1.WC
but485.1,BUT485.1.1.WC
but303.1,BUT303.1.1.CPD
but400.1,BUT400.1.1.PT
but495.1,BUT495.1.1.WC
lt2july1800.1,lt2july1800.1.1.LT
but306.1,BUT306.1.1.CPD
but146.1,BUT146.1.1.WC
but452.1,BUT452.1.1.WC
lt1825.1,lt1825.1.1.LT
lt23feb1804.1,lt23feb1804.1.1.LT
but322.1,BUT322.1.1.CPD
lt4dec1804.1,lt4dec1804.1.1.LT
but406.1,BUT406.1.1.PT
but291.1,BUT291.1.1.CPD
but506.1,BUT506.1.1.WC
but499.1,BUT499.1.1.WC
lt26oct1803.1,lt26oct1803.1.1.LT
lt28sept1804.1,lt28sept1804.1.1.LT
but466.1,BUT466.1.1.WC
but449.1,BUT449.1.1.WC
lt14july1826.1,lt14july1826.1.1.LT
lt23oct1804.1,lt23oct1804.1.1.LT
but497.1,BUT497.1.1.WC
but463.1,BUT463.1.1.WC
lt4may1804.1,lt4may1804.1.1.LT
but415.1,BUT415.1.1.PT
lt5july1826.1,lt5july1826.1.1.LT
but327.1,BUT327.1.1.CPD
suppbb467.1,bb467.1.1-full.COM
but461.1,BUT461.1.1.WC
but392.1,BUT392.1.1.PT
but524.1,BUT524.1.1.WC
lt31jan1826.1,lt31jan1826.1.1.LT
but447.1,BUT447.1.1.WC
but486.1,BUT486.1.1.WC
lt16march1804.1,lt16march1804.1.1.LT
lt5feb1826.1,lt5feb1826.1.1.LT
inscbut502.1,BUT502.1.1-full.RM
but623.1,BUT623.1.1.PD
but507.1,BUT507.1.1.WC
lt15aug1827.1,lt15aug1827.1.1.LT
but404.1,BUT404.1.1.PT
bbwba14.1,BBWBA14.1.1.SP
but299.1,BUT299.1.1.CPD
but624v.1,BUT624.1.1v.PD
insceurope.d,europe.d.P1-full
bb69.1,BB69.1.1.MS
lt7aug1804.1,lt7aug1804.1.1.LT
but416.1,BUT416.1.1.PT
but476.1,BUT476.1.1.WC
but511.1,BUT511.1.1.WC
lt31march1826.1,lt31march1826.1.1.LT
lt11oct1825.1,lt11oct1825.1.1.LT
but616.1,BUT616.1.1.WC
